text;label;prediction
Emang udah kodratnya.;0;0.83
Gua lagi nggak minat.;0;0.04
Sempit banget dah ah.;0;0.43
Udah nggak usah dibahas lagi.;0;0.28
Bikin sebel aje gua.;0;0.66
Nggak worth it juga.;0;0.17
Wah, top markotop!;1;0.92
Bikin sakit kepala.;0;0.75
Sat set sat set dong.;0;0.25
Jangan senga dah lu.;0;0.52
Emang udah takdirnya.;0;0.86
Gua lagi nggak fokus.;0;0.03
Sukar amat dah ah.;0;0.39
Udah nggak usah diungkit lagi.;0;0.21
Bikin gemes aje nih.;0;0.69
Nggak ngefek juga.;0;0.12
Wah, yahud bener!;1;0.97
Bikin mules dah.;0;0.71
Gas pol napa gas pol.;0;0.33
Jangan nyolot dah lu.;0;0.45
Emang udah suratan.;0;0.81
Gua lagi nggak konsen.;0;0.05
Payah banget dah ah.;0;0.41
Udah nggak usah diperpanjang.;0;0.23
Bikin kesel banget gua.;0;0.73
Nggak mempan juga.;0;0.19
Wah, zuper sekali!;1;0.99
Bikin mual dah.;0;0.78
Ogah ah, males.;0;0.11
Jangan ngedumel dah lu.;0;0.55
Emang udah ketentuan.;0;0.84
Gua lagi nggak enak ati.;0;0.07
Berabe banget dah ah.;0;0.37
Udah nggak usah diributin.;0;0.26
Bikin bete banget nih.;0;0.76
Nggak nggeh juga.;0;0.15
Wah, ampun dah kerennya!;1;0.94
Bikin eneg dah.;0;0.74
Nggak sudi gua.;0;0.18
Jangan nyinyir dah lu.;0;0.49
Emang udah garisnya.;0;0.87
Gua lagi nggak sreg.;0;0.04
Pusing tujuh keliling dah ah.;0;0.44
Udah nggak usah dipeduliin.;0;0.29
Bikin gondok banget gua.;0;0.79
Nggak ngeh juga.;0;0.13
Wah, cetar membahana!;1;0.91
Bikin meriang dah.;0;0.77
Nggak mau ah, repot.;0;0.22
Jangan ngomel dah lu.;0;0.51
Emang udah ajalinya.;0;0.82
Gua lagi nggak nyaman.;0;0.06
Kacau banget dah ah.;0;0.36
Udah nggak usah diomongin lagi.;0;0.25
Bikin sewot banget nih.;0;0.81
Nggak mudeng juga.;0;0.17
Wah, daebak pisan!;1;0.96
Bikin pening dah.;0;0.73
Nggak ikut-ikutan ah.;0;0.28
Jangan nyindir dah lu.;0;0.47
Emang udah qadarnya.;0;0.85
Gua lagi nggak fokus pikiran.;0;0.08
Runyam banget dah ah.;0;0.42
Udah nggak usah diinget-inget.;0;0.31
Bikin emosi banget gua.;0;0.83
Nggak ngerti-ngerti juga.;0;0.14
Wah, fantastic sekali!;1;0.98
Bikin sakit perut dah.;0;0.79
Nggak peduli gua.;0;0.19
Jangan ngegas dah lu.;0;0.53
Emang udah suratan takdir.;0;0.89
Gua lagi nggak enak badan.;0;0.03
Ribet kayak benang kusut dah ah.;0;0.39
Udah nggak usah dibesar-besarin.;0;0.27
Bikin naik darah banget nih.;0;0.86
Nggak ngeh blas.;0;0.16
Wah, georgeous bener!;1;0.93
Bikin pegel linu dah.;0;0.75
Nggak urusan gua.;0;0.24
Jangan ngeles dah lu.;0;0.44
Emang udah ketentuan Illahi.;0;0.91
Gua lagi nggak enak perasaan.;0;0.09
Sukar kayak nyari jarum di jerami dah ah.;0;0.45
Udah nggak usah diambil pusing.;0;0.33
Bikin panas ati banget gua.;0;0.88
Nggak ngerti sama sekali.;0;0.11
Wah, istimewa sekali!;1;0.99
Bikin nggak napsu makan dah.;0;0.72
Nggak minat blas.;0;0.21
Jangan ngeremehin dah lu.;0;0.57
Emang udah kehendak-Nya.;0;0.94
Gua lagi nggak bersemangat.;0;0.06
Serba salah dah ah.;0;0.38
Udah nggak usah dipikirin dalem-dalem.;0;0.35
Bikin sebel banget gua nih.;0;0.91
Nggak ngerti-ngerti amat.;0;0.18
Wah, joss gandoss!;1;0.95
Bikin lemes dah.;0;0.76
Nggak demen juga gua.;0;0.26
Jangan ngeritik mulu dah lu.;0;0.48
Emang udah suratan alam.;0;0.83
Gua lagi nggak ada gairah.;0;0.04
Semrawut banget dah ah.;0;0.43
Udah nggak usah dibahas tuntas.;0;0.32
Bikin gemes banget gua nih.;0;0.93
Nggak ngerti-ngerti pisan.;0;0.13
Wah, kiyowo banget!;1;0.92
Bikin ngantuk dah.;0;0.71
Nggak suka gua.;0;0.29
Jangan nyalahin orang mulu dah lu.;0;0.52
Emang udah begitulah adanya.;0;0.88
Gua lagi nggak antusias.;0;0.07
Sinting banget dah ah.;0;0.46
Udah nggak usah diungkit-ungkit lagi.;0;0.36
Bikin gondok banget gua nih.;0;0.96
Nggak ngerti-ngerti pisan euy.;0;0.15
Wah, maknyuss tenan!;1;0.97
Bikin mules perut dah.;0;0.78
Nggak mau ikutan dah gua.;0;0.23
Jangan ngejudge dah lu.;0;0.55
Emang udah demikian keadaannya.;0;0.92
Gua lagi nggak bergairah.;0;0.05
Susaaaah banget dah ah.;0;0.41
Udah nggak usah diperpanjang lebar.;0;0.34
Bikin sewot banget gua nih.;0;0.98
Nggak ngerti-ngerti babar blas.;0;0.12
Wah, perfecto!;1;0.99
Bikin nggak enak badan dah.;0;0.74
Nggak doyan gua.;0;0.27
Jangan nuduh sembarangan dah lu.;0;0.49
Emang udah begini dari sananya.;0;0.85
Gua lagi nggak berenergi.;0;0.03
Aneh banget dah ah.;0;0.44
Udah nggak usah diambil hati.;0;0.37
Bikin emosi banget gua nih.;0;0.95
Nggak ngerti-ngerti pisan-pisan.;0;0.19
Wah, qumaseh!;1;0.91
Bikin pusing palak dah.;0;0.77
Nggak tertarik gua.;0;0.31
Jangan ngerumpi dah lu.;0;0.51
Emang udah ciri khasnya.;0;0.87
Gua lagi nggak semangat idup.;0;0.09
Berantakan banget dah ah.;0;0.42
Udah nggak usah dipikirin mendalam.;0;0.39
Bikin naik pitam banget gua nih.;0;0.97
Nggak ngerti-ngerti sedikiiiit pun.;0;0.16
Wah, superb sekali!;1;0.94
Bikin nggak karuan dah.;0;0.73
Nggak sudi dah gua.;0;0.25
Jangan nyolot-nyolot dah lu.;0;0.53
Emang udah watak dasarnya.;0;0.93
Gua lagi nggak punya daya.;0;0.04
Gaduh banget dah ah.;0;0.45
Udah nggak usah dibahas detail.;0;0.38
Bikin kesel banget gua nih.;0;0.99
Nggak ngerti-ngerti kayak patung.;0;0.11
Wah, ulala sekali!;1;0.96
Bikin nggak fokus dah.;0;0.79
Nggak pengen gua.;0;0.22
Jangan ngatur-ngatur dah lu.;0;0.46
Emang udah bawaannya dari lahir.;0;0.89
Gua lagi nggak ada tenaga.;0;0.07
Gelisah banget dah ah.;0;0.43
Udah nggak usah diomongin terus.;0;0.35
Bikin bete banget gua nih.;0;0.92
Nggak ngerti-ngerti kayak kebo dicocok idung.;0;0.18
Wah, vamos!;1;0.98
Bikin nggak enak ati dah.;0;0.75
Nggak selera gua.;0;0.28
Jangan ngebentak-bentak dah lu.;0;0.54
Emang udah takdir ilahi.;0;0.95
Gua lagi nggak ada gairah hidup.;0;0.03
Bingung banget dah ah.;0;0.41
Udah nggak usah dipikirin lagi nanti.;0;0.37
Bikin gondok banget gua nih.;0;0.94
Nggak ngerti-ngerti kayak tunggul kayu.;0;0.13
Wah, wih keren!;1;0.91
Bikin nggak mood dah.;0;0.71
Nggak nafsu gua.;0;0.31
Jangan ngedikte dah lu.;0;0.48
Emang udah suratan dari sono.;0;0.86
Gua lagi nggak ada semangat juang.;0;0.05
Rungsing banget dah ah.;0;0.47
Udah nggak usah dibahas panjang lebar.;0;0.33
Bikin sewot banget gua nih.;0;0.96
Nggak ngerti-ngerti kayak robot.;0;0.15
Ilok!;0;0.62
Setdah!;0;0.78
Apa bae dah.;0;0.35
Bagenin aje.;0;0.29
Nyok!;1;0.85
Aye mah ogah.;0;0.17
Encing!;0;0.51
Encang!;0;0.48
Nyai!;0;0.69
Bang jampang!;1;0.91
Nggak ngarti blass.;0;0.11
Udah sonoan!;0;0.33
Biarin dah ah.;0;0.21
Jangan kek gitu!;0;0.45
Dasar lu emang!;0;0.77
Gua nggak doyan.;0;0.14
Ribet dah urusan.;0;0.39
Serah lu pada dah.;0;0.26
Bikin puyeng aje.;0;0.58
Nggak enak nih.;0;0.19
Wah, cakep bener dah!;1;0.89
Mendingan juga kagak.;0;0.63
Jangan macem-macem lu!;0;0.41
Biasa aje kaliii ah.;0;0.34
Nggak penting juga sih.;0;0.12
Wah, mantap jiwa raga!;1;0.93
Bikin kesel banget!;0;0.61
Udah kelar apa belom nih?;0;0.28
Jangan ngaco ngidul lu!;0;0.52
Emang udah dari sononye.;0;0.79
Gua lagi nggak mood banget.;0;0.08
Susah amat dah idup.;0;0.42
Terserah dah ah elah.;0;0.23
Bikin bingung pala gua.;0;0.55
Nggak seru babar blas.;0;0.16
Wah, keren abis markotop!;1;0.87
Bikin naik darah tinggi!;0;0.65
Cepetan dikit kek napa sih.;0;0.31
Jangan sok alim dah lu!;0;0.59
Emang udah tabiat turun temurun.;0;0.81
Gua lagi nggak pengen makan.;0;0.11
Ribet banget kayak benang kusut.;0;0.36
Udah biarin aja dianya mah.;0;0.19
Bikin gondok ulu ati.;0;0.63
Nggak guna juga percuma.;0;0.15
Wah, hebat bener dah ah!;1;0.95
Bikin emosi jiwa raga!;0;0.68
Lama bener kayak keong!;0;0.25
Jangan banyak omong kosong!;0;0.49
Emang dari jaman jebot begitu.;0;0.75
Gua lagi nggak nafsu makan juga.;0;0.09
Susah payah kayak narik gerobak.;0;0.44
Udah lupain aja kagak penting.;0;0.29
Bikin mumet tujuh keliling.;0;0.59
Nggak mutu kayak comberan.;0;0.17
Wah, luar biasa sekali pemandangannya!;1;0.97
Bikin sewot setengah mati!;0;0.71
Buruan atuh geura!;0;0.33
Jangan kebanyakan gaya lu tong!;0;0.56
Emang udah watak dari orok.;0;0.73
Gua lagi nggak selera ngapa-ngapain.;0;0.12
Repot amat kayak ngurusin bayi.;0;0.41
Udah nggak usah dipikirin dalem-dalem.;0;0.26
Bikin bete nggak ketulungan.;0;0.66
Nggak ada faedahnya sama sekali.;0;0.18
Wah, edan tenan koyo ngene!;1;0.99
Bikin naik pitam ubun-ubun!;0;0.74
Gercep kek kilat napa sih!;0;0.35
Jangan belagu kayak jagoan kampung!;0;0.61
Emang udah nasib badan kayak gini.;0;0.77
Gua lagi nggak minat blas dah.;0;0.13
Ruwet banget kayak tali kolor putus.;0;0.38
Udah nggak penting juga kagak ngaruh.;0;0.31
Bikin jengkel nggak abis-abis.;0;0.69
Nggak ngaruh sama sekali percuma.;0;0.21
Wah, sangar bener dah kayak macan!;1;0.96
Bikin panas ati ubun-ubun!;0;0.72
Kilat kek petir napa gerak lu!;0;0.37
Jangan so jagoan kesorean dah lu!;0;0.54
Emang udah kodrat ilahi kayak gini.;0;0.83
Gua lagi nggak konsen pikiran nih.;0;0.16
Sempit banget kayak kandang ayam.;0;0.46
Udah nggak usah dibahas lagi kagak penting.;0;0.33
Bikin sebel nggak karuan dah gua.;0;0.72
Nggak worth it kayak beli kucing dalam karung.;0;0.22
Wah, top markotop dah pokoknya!;1;0.94
Bikin sakit kepala tujuh turunan!;0;0.76
Sat set wat wet dong gerak lu!;0;0.39
Jangan senga kayak anak baru gede!;0;0.58
Emang udah takdir dari sono kala ya.;0;0.86
Gua lagi nggak fokus kayak nonton sinetron.;0;0.19
Sukar amat kayak nyari kutu di kasur.;0;0.49
Udah nggak usah diungkit-ungkit lagi bikin sakit ati.;0;0.35
Bikin gemes pengen nyubit pipi!;0;0.75
Nggak ngefek kayak dikasih aer kobokan.;0;0.24
Wah, yahud bener dah ini mah!;1;0.98
Bikin mules perut kayak makan sambel setan!;0;0.78
Ogah ah males banget kayak disuruh nyuci piring segudang.;0;0.27
Jangan ngedumel kayak nenek-nenek kurang belaian!;0;0.62
Emang udah ketentuan dari Yang Maha Kuasa kayak gini.;0;0.89
Gua lagi nggak enak ati kayak abis dimarahin emak.;0;0.21
Berabe banget kayak ngurusin anak ayam ilang induknya.;0;0.43
Udah nggak usah diributin lagi bikin tambah runyam.;0;0.38
Bikin kesel banget pengen nonjok tembok!;0;0.79
Nggak mempan kayak diomongin sama tembok budeg.;0;0.23
Wah, zuper sekali dah pokoknya mah ini!;1;0.99
Bikin mual kayak nyium bau sampah seminggu!;0;0.81
Nggak sudi gua kayak disuruh makan jengkol mentah sebakul!;0;0.31
Jangan nyinyir kayak ibu-ibu arisan lagi ngerumpi!;0;0.65
Emang udah garis tangan kayak gini mau diapain lagi coba?;0;0.91
Gua lagi nggak sreg kayak pake baju kekecilan pas lebaran.;0;0.25
Repot amat kayak ngurusin proyek mangkrak seabad!;0;0.47
Udah nggak usah dipeduliin lagi bikin tambah sakit jiwa.;0;0.41
Bikin bete banget pengen gigit aspal!;0;0.83
Nggak nggeh kayak dikasih teka-teki silang bahasa alien!;0;0.28
Wah, ampun dah kerennya kebangetan!;1;0.97
Bikin eneg kayak minum jamu pahit segalon sendirian!;0;0.85
apa bae lu begitu dah;0;0.10
gausah banyak laga dah;0;0.14
walah salut bener gue sama lu;1;0.5992106
cerah bener nih hari dah;1;0.66
beneran enak bener nih lauk buset;1;0.51
bangke bener lu;1;0.61
emang brengsek lu buset;0;0.35
cerah bener nih hari;1;0.6
Ilok!;0;0.62
Setdah!;0;0.78
Apa bae dah.;0;0.35
Bagenin aje.;0;0.29
Nyok!;1;0.85
Aye mah ogah.;0;0.17
Encing!;0;0.51
Encang!;0;0.48
Nyai!;0;0.69
Bang jampang!;1;0.91
Nggak ngarti blass.;0;0.11
Udah sonoan!;0;0.33
Biarin dah ah.;0;0.21
Jangan kek gitu!;0;0.45
Dasar lu emang!;0;0.77
Gua nggak doyan.;0;0.14
Ribet dah urusan.;0;0.39
Serah lu pada dah.;0;0.26
Bikin puyeng aje.;0;0.58
Nggak enak nih.;0;0.19
Wah, cakep bener dah!;1;0.89
Mendingan juga kagak.;0;0.63
Jangan macem-macem lu!;0;0.41
Biasa aje kaliii ah.;0;0.34
Nggak penting juga sih.;0;0.12
Wah, mantap jiwa raga!;1;0.93
Bikin kesel banget!;0;0.61
Udah kelar apa belom nih?;0;0.28
Jangan ngaco ngidul lu!;0;0.52
Emang udah dari sononye.;0;0.79
Gua lagi nggak mood banget.;0;0.08
Susah amat dah idup.;0;0.42
Terserah dah ah elah.;0;0.23
Bikin bingung pala gua.;0;0.55
Nggak seru babar blas.;0;0.16
Wah, keren abis markotop!;1;0.87
Bikin naik darah tinggi!;0;0.65
Cepetan dikit kek napa sih.;0;0.31
Jangan sok alim dah lu!;0;0.59
Emang udah tabiat turun temurun.;0;0.81
Gua lagi nggak pengen makan.;0;0.11
Ribet banget kayak benang kusut.;0;0.36
Udah biarin aja dianya mah.;0;0.19
